Site,HC,HC,HC,MDD,MDD,MDD,ASD,ASD,ASD,OCD,OCD,OCD,SCZ,SCZ,SCZ,ALL,ALL,ALL,???1
Site,Number,Male/Female,Age(y),Number,Male/Female,Age(y),Number,Male/Female,Age(y),Number,Male/Female,Age(y),Number,Male/Female,Age(y),Number,Male/Female,Age(y),Unnamed: 19_level_1
ATT,31,28/3,23.0 ± 1.9,0,-,-,0,-,-,0,-,-,0,-,-,31,28/3,23.0 ± 1.9,✔
ATV,77,60/17,22.6 ± 2.0,0,-,-,0,-,-,0,-,-,0,-,-,77,60/17,22.6 ± 2.0,✔
HUH,66,29/37,34.6 ± 13.0,57,25/32,43.3 ± 12.2,0,-,-,0,-,-,0,-,-,123,54/69,38.6 ± 13.3,-
HKH,29,12/17,45.4 ± 9.5,23,10/13,43.6 ± 11.6,0,-,-,0,-,-,0,-,-,52,22/30,44.6 ± 10.5,-
COI,10,5/5,43.5 ± 13.5,38,18/20,44.0 ± 11.0,0,-,-,0,-,-,0,-,-,48,23/25,43.9 ± 11.4,✔
KPM,52,28/24,29.1 ± 7.3,0,-,-,0,-,-,65,30/35,31.9 ± 9.8,0,-,-,117,58/59,30.6 ± 8.8,-
KUT,35,18/17,36.3 ± 8.9,9,5/4,45.2 ± 15.9,0,-,-,0,-,-,22,11/11,40.4 ± 8.4,66,34/32,38.9 ± 10.2,✔
SWA,40,32/8,30.9 ± 8.5,0,-,-,49,45/4,32.9 ± 8.1,0,-,-,12,11/1,41.8 ± 9.2,101,88/13,33.2 ± 8.9,✔
UTO,142,72/70,29.7 ± 11.0,34,16/18,38.5 ± 9.9,0,-,-,0,-,-,14,7/7,33.3 ± 14.0,190,95/95,31.6 ± 11.5,✔
Summary,482,284/198,30.6 ± 10.9,161,74/87,42.6 ± 11.7,49,45/4,32.9 ± 8.1,65,30/35,31.9 ± 9.8,48,29/19,38.7 ± 10.8,805,462/343,33.7 ± 11.9,-
