Regions,MNI coordinates,MNI coordinates,MNI coordinates,T
Regions,X,Y,Z,T
DMN,DMN,DMN,DMN,DMN
R precuneus,3,−57,36,21.20
R post cingulum,6,−42,21,19.94
L angular,−42,−72,36,12.73
R middle occipital gyrus,33,−93,6,8.45
R inferior occipital gyrus,30,−93,−6,6.04
DAN,DAN,DAN,DAN,DAN
R supramarginal gyrus,60,−30,36,18.31
L supramarginal gyrus,−63,−27,33,16.58
L medial frontal gyrus,−3,57,18,9.26
R calcarine sulcus,3,−75,3,8.70
R midcingulate area,12,−30,42,8.45
"R middle frontal gyrus, orbital part",51,9,21,7.38
L middle frontal gyrus,−39,42,36,6.68
FPN,FPN,FPN,FPN,FPN
"L inferior frontal gyrus, pars opercularis",−48,18,33,19.63
"R inferior frontal gyrus, pars triangularis",54,21,24,16.68
R medial frontal gyrus,6,42,45,9.57
L paracentral lobule,0,−24,57,9.52
"Lobule IV, V of vermis",6,−45,3,6.68
