CLUSTER (AAL),Volume (voxels),CLUSTER (AAL).1,Volume (voxels).1
Cluster 1,"Total: 22,347",Cluster 2,"Total: 6,158"
Peak (MNI): 39 -18 -24,Peak t: 63.7643,Peak (MNI): 3 -66 45,Peak t: 41.1763
Temporal_Inf_L,584,Precuneus_L,499
Temporal_Inf_R,495,Occipital_Mid_L,448
Fusiform_R,458,Precuneus_R,448
Fusiform_L,438,Angular_R,408
Temporal_Sup_L,392,Occipital_Mid_R,328
Insula_R,358,Temporal_Mid_R,315
Insula_L,340,Parietal_Inf_R,311
ParaHippocampal_R,325,Temporal_Mid_L,311
Cerebelum_4_5_L,315,Parietal_Inf_L,271
Cerebelum_6_R,299,SupraMarginal_R,244
ParaHippocampal_L,283,Parietal_Sup_L,235
Temporal_Pole_Sup_L,274,Angular_L,233
Hippocampus_R,268,Parietal_Sup_R,216
Hippocampus_L,267,Occipital_Sup_R,191
Frontal_Inf_Orb_L,251,Cuneus_R,168
Cerebelum_6_L,244,Cuneus_L,155
Frontal_Inf_Orb_R,242,Occipital_Sup_L,153
Temporal_Mid_L,228,Postcentral_R,110
Putamen_L,227,,
Temporal_Sup_R,215,,
Putamen_R,214,,
Cerebelum_4_5_R,196,,
Caudate_R,185,,
Caudate_L,184,,
Temporal_Pole_Sup_R,179,,
Postcentral_L,172,,
Rolandic_Oper_L,160,,
Precentral_L,158,,
Frontal_Sup_Orb_R,127,,
Rectus_R,117,,
Temporal_Pole_Mid_R,112,,
Frontal_Sup_Orb_L,100,,
