Feature type,ACC (%),TPR (%),TNR (%),PPV (%),NPV (%)
Sub-Intra-Low,74 ± 0.21,73 ± 0.33,75 ± 0.39,75 ± 0.38,73 ± 0.49
Sub-Intra-High,77 ± 0.30,73 ± 0.45,81 ± 0.14,79 ± 0.47,76 ± 0.12
Sub-Intra-Fusion,79 ± 0.49,76 ± 0.45,82 ± 0.23,81 ± 0.13,77 ± 0.25
Sub-Inter-Low,66 ± 0.30,62 ± 0.22,70 ± 0.21,67 ± 0.45,66 ± 0.00
Sub-Inter-High,72 ± 0.38,69 ± 0.22,74 ± 0.40,72 ± 0.09,71 ± 0.43
Sub-Inter-Fusion,73 ± 0.45,71 ± 0.45,72 ± 0.34,71 ± 0.11,72 ± 0.34
Sub-Fusion,81 ± 0.44,78 ± 0.30,83 ± 0.11,81 ± 0.45,80 ± 0.44
Fully Low,74 ± 0.30,78 ± 0.29,70 ± 0.30,71 ± 0.45,77 ± 0.37
Fully High,71 ± 0.45,65 ± 0.37,77 ± 0.45,72 ± 0.50,69 ± 0.25
Fully Fusion,75 ± 0.18,72 ± 0.34,74 ± 0.48,74 ± 0.22,73 ± 0.14
Con-static,74 ± 0.04,72 ± 0.23,76 ± 0.01,74 ± 0.05,73 ± 0.07
Con-dynamic,75 ± 0.12,73 ± 0.14,76 ± 0.29,74 ± 0.23,75 ± 0.08
