pmcid,coordinate_space
8707613,MNI
6308204,MNI
7340148,MNI
8461710,MNI
10036396,MNI
7809273,MNI
7905591,MNI
7571509,UNKNOWN
8228527,MNI
8226028,MNI
7338607,MNI
9448730,MNI
7880987,MNI
6881455,MNI
10011051,MNI
7815846,TAL
9273422,MNI
6372554,MNI
8385036,MNI
9643675,UNKNOWN
9860458,MNI
8795561,UNKNOWN
6109636,MNI
9140773,UNKNOWN
9922997,MNI
8891292,UNKNOWN
7580186,MNI
8288090,MNI
8716545,MNI
6485093,MNI
7268009,MNI
9150138,MNI
9721349,MNI
8960737,MNI
8481307,UNKNOWN
8961247,MNI
7380265,MNI
6881607,MNI
10183740,MNI
9151821,MNI
6123521,MNI
8127146,MNI
9925610,MNI
7838505,MNI
6648236,TAL
6057306,MNI
10149739,MNI
7718219,MNI
6470287,MNI
7495110,MNI
7781614,UNKNOWN
8636330,MNI
9574235,TAL
8565286,UNKNOWN
6636605,MNI
10171546,UNKNOWN
9608187,MNI
9873504,MNI
6592158,MNI
10218878,UNKNOWN
8531403,MNI
6491723,UNKNOWN
7734298,MNI
8339191,UNKNOWN
10136943,MNI
7240193,MNI
9127988,UNKNOWN
6974443,MNI
6158265,MNI
6620714,MNI
7325959,MNI
7004964,MNI
6275219,MNI
8069225,MNI
9477102,UNKNOWN
9478601,MNI
6121162,MNI
8571566,MNI
7543678,MNI
6915079,MNI
6338247,UNKNOWN
9475851,UNKNOWN
9738657,MNI
6411906,TAL
8032871,MNI
6170624,UNKNOWN
9875925,MNI
6138953,MNI
9294292,MNI
8762207,MNI
9853407,MNI
9853194,MNI
8977011,MNI
10219948,UNKNOWN
7229353,MNI
10262291,MNI
9556654,MNI
6658914,UNKNOWN
6240578,MNI
7821605,MNI
9314446,UNKNOWN
9704796,MNI
8718718,MNI
6337053,UNKNOWN
6182059,MNI
8725707,MNI
6551567,MNI
6462481,UNKNOWN
6799426,UNKNOWN
8601205,MNI
9668651,UNKNOWN
7779587,MNI
7151113,MNI
7551257,MNI
6524720,MNI
6294404,MNI
8452898,MNI
8464622,MNI
10342283,MNI
8672309,MNI
8805588,UNKNOWN
7745777,UNKNOWN
6714062,MNI
8090776,MNI
7082749,UNKNOWN
7381697,UNKNOWN
6527901,MNI
8081966,MNI
8011682,MNI
7428479,MNI
8137842,MNI
