pmcid,table_id,table_label,x,y,z
8707613,life-11-01411-t002,Table 2,33.0,27.0,9.0
8707613,life-11-01411-t002,Table 2,-26.0,36.0,9.0
8707613,life-11-01411-t002,Table 2,39.0,36.0,3.0
8707613,life-11-01411-t002,Table 2,39.0,36.0,6.0
7340148,T1,TABLE 1,-57.0,-18.0,-15.0
7340148,T1,TABLE 1,58.0,-17.0,-15.0
7340148,T1,TABLE 1,-62.0,-23.0,12.0
7340148,T1,TABLE 1,63.0,-24.0,12.0
7340148,T1,TABLE 1,-46.0,-29.0,10.0
7340148,T1,TABLE 1,47.0,-29.0,10.0
7340148,T1,TABLE 1,-56.0,-25.0,5.0
7340148,T1,TABLE 1,56.0,-22.0,3.0
7340148,T1,TABLE 1,-10.0,12.0,-13.0
7340148,T1,TABLE 1,13.0,11.0,-13.0
7340148,T1,TABLE 1,-24.0,-6.0,-18.0
7340148,T1,TABLE 1,24.0,-6.0,-18.0
7340148,T1,TABLE 1,-26.0,-36.0,-10.0
7340148,T1,TABLE 1,26.0,-36.0,-10.0
7340148,T1,TABLE 1,-4.0,38.0,4.0
7340148,T1,TABLE 1,4.0,38.0,4.0
7340148,T1,TABLE 1,-4.0,26.0,-10.0
7340148,T1,TABLE 1,4.0,26.0,-10.0
7340148,T1,TABLE 1,-3.0,44.0,-8.0
7340148,T1,TABLE 1,3.0,44.0,-8.0
7340148,T3,TABLE 3,18.0,-42.0,-26.0
7340148,T3,TABLE 3,3.0,-78.0,-39.0
7340148,T3,TABLE 3,-15.0,-57.0,-25.0
7340148,T3,TABLE 3,-18.0,-18.0,69.0
7340148,T3,TABLE 3,-30.0,-51.0,-57.0
7340148,T3,TABLE 3,-12.0,-66.0,-24.0
7340148,T3,TABLE 3,-39.0,-89.0,-7.0
7340148,T3,TABLE 3,-36.0,15.0,-41.0
7340148,T3,TABLE 3,-9.0,-27.0,72.0
7340148,T3,TABLE 3,6.0,-84.0,-42.0
7340148,T3,TABLE 3,24.0,-3.0,-15.0
7340148,T3,TABLE 3,60.0,-21.0,45.0
7340148,T4,TABLE 4,39.0,-30.0,45.0
7340148,T4,TABLE 4,15.0,-9.0,63.0
7340148,T4,TABLE 4,57.0,-21.0,0.0
7340148,T4,TABLE 4,6.0,0.0,48.0
10036396,T2,TABLE 2,-9.0,30.0,-24.0
10036396,T2,TABLE 2,9.0,-78.0,51.0
7905591,Tab1,Table 1,-8.0,-38.0,34.0
7905591,Tab1,Table 1,-2.0,34.0,42.0
7905591,Tab1,Table 1,-14.0,-56.0,24.0
7905591,Tab1,Table 1,-48.0,-68.0,10.0
7905591,Tab1,Table 1,-26.0,-68.0,18.0
7905591,Tab3,Table 3,-39.0,-77.0,33.0
7905591,Tab3,Table 3,-39.0,-77.0,33.0
7905591,Tab3,Table 3,-39.0,-77.0,33.0
7905591,Tab3,Table 3,-55.0,-12.0,29.0
7905591,Tab3,Table 3,-55.0,-12.0,29.0
7905591,Tab3,Table 3,-55.0,-12.0,29.0
7905591,Tab3,Table 3,-37.0,-79.0,10.0
7905591,Tab3,Table 3,-46.0,-58.0,49.0
7905591,Tab3,Table 3,-46.0,-58.0,49.0
