pmcid,pmid,doi,title,journal,publication_year,license
8707613,34947943,10.3390/life11121411,Multiscale Entropy of Resting-State Functional Magnetic Resonance Imaging Differentiates Progressive Supranuclear Palsy and Multiple System Atrophy,Life (Basel),2021,https://creativecommons.org/licenses/by/4.0/
6308204,30622492,10.3389/fpsyg.2018.02586,Differentiation of Transformed Bipolar Disorder From Unipolar Depression by Resting-State Functional Connectivity Within Reward Circuit,Front Psychol,2018,http://creativecommons.org/licenses/by/4.0/
7340148,32714128,10.3389/fnins.2020.00592,Aberrant Functional and Causal Connectivity in Acute Tinnitus With Sensorineural Hearing Loss,Front Neurosci,2020,http://creativecommons.org/licenses/by/4.0/
8461710,34180414,10.3233/JAD-210159,Preventing Loss of Independence through Exercise (PLIÉ): A Pilot Trial in Older Adults with Subjective Memory Decline and Mild Cognitive Impairment,J Alzheimers Dis,2021,https://creativecommons.org/licenses/by-nc/4.0/
10036396,36968506,10.3389/fnins.2023.1131114,Intrinsic brain abnormalities in chronic rhinosinusitis associated with mood and cognitive function,Front Neurosci,2023,https://creativecommons.org/licenses/by/4.0/
7809273,33446780,10.1038/s41598-020-80346-6,Individual-fMRI-approaches reveal cerebellum and visual communities to be functionally connected in obsessive compulsive disorder,Sci Rep,2021,http://creativecommons.org/licenses/by/4.0/
7905591,33627197,10.1186/s40673-021-00132-6,Cerebellar transcranial direct current stimulation reconfigurates static and dynamic functional connectivity of the resting-state networks,Cerebellum Ataxias,2021,http://creativecommons.org/licenses/by/4.0/
7571509,32014552,10.1016/j.neuroimage.2020.116596,Effects of repetitive transcranial magnetic stimulation on resting-state connectivity: A systematic review,Neuroimage,2020,http://creativecommons.org/licenses/by-nc-nd/4.0/
8228527,34070900,10.3390/life11060506,Functional Analysis of Brain Imaging Suggests Changes in the Availability of mGluR5 and Altered Connectivity in the Cerebral Cortex of Long-Term Abstaining Males with Alcohol Dependence: A Preliminary Study,Life (Basel),2021,https://creativecommons.org/licenses/by/4.0/
8226028,34177638,10.3389/fpsyt.2021.626332,A Comparative Study on the Predictive Value of Different Resting-State Functional Magnetic Resonance Imaging Parameters in Preclinical Alzheimer's Disease,Front Psychiatry,2021,https://creativecommons.org/licenses/by/4.0/
